# model=B23TFCUCCMFGMLiteModel tfcu=ccm_tfcu_unravel lora_rank=32 input_size=512 num_clips=2 num_frames=4
# loss=0.9*bce + 0.08*boundary + 0.02*temporal_consistency aux=
# train_samples=DAVIS-VI_tra_DVI_30.npy;DAVIS-VI_tra_CPNET_30.npy val_samples=DAVIS-VI_val_DVI_20.npy;DAVIS-VI_val_CPNET_20.npy
# batch_size=1 lr=0.0001 params_total=312018924 params_trainable=7884989
epoch,lr,train_loss,train_main_loss,train_aux_loss,train_bce_loss,train_boundary_loss,train_temporal_consistency_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_iou,train_f1,train_precision,train_recall,train_accuracy,val_loss,val_iou,val_f1,val_precision,val_recall,val_accuracy,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean
47,9.9673222e-06,0.34556956,0.34556956,0,0.37721789,0.069472953,0.02578144,,,,,,,,,,,,,0.0010113314,0.31306618,0.31395659,0.37297723,0.25,0.72090129,0.82269149,0.80264725,0.85904904,0.9759995,,,,,,,,,,,,,,,,,,,,,,,
48,9.9655819e-06,0.3560422,0.3560422,0,0.38889064,0.067821111,0.03074741,,,,,,,,,,,,,0.0010116338,0.30246612,0.30869689,0.38883699,0.25,0.65483635,0.77761699,0.77600957,0.79782871,0.9725612,,,,,,,,,,,,,,,,,,,,,,,
49,9.9637967e-06,0.35101162,0.35101162,0,0.3829443,0.070883273,0.034554814,,,,,,,,,,,,,0.0010119519,0.302676,0.32223118,0.37509282,0.25,0.63898712,0.75779712,0.75062886,0.80915719,0.97029372,0.35133459,0.66900816,0.78375432,0.74814281,0.85615552,0.97749198,,,,,,,,,,,,,0.0010121586,0.29391108,0.31891859,0.38717033,0.25
50,9.9619664e-06,0.34688411,0.34688411,0,0.37918614,0.063126687,0.028322523,,,,,,,,,,,,,0.0010123389,0.3011691,0.32024225,0.37858864,0.25,0.67834046,0.79852185,0.79313243,0.81826004,0.97774463,,,,,,,,,,,,,,,,,,,,,,,
51,9.9600913e-06,0.33490147,0.33490147,0,0.36545673,0.067889543,0.027962746,,,,,,,,,,,,,0.0010125835,0.30635777,0.33644665,0.35719559,0.25,0.7329714,0.83805194,0.82606171,0.86548597,0.97443206,,,,,,,,,,,,,,,,,,,,,,,
52,9.9581713e-06,0.34980845,0.34980845,0,0.3819694,0.067423879,0.032104532,,,,,,,,,,,,,0.0010127841,0.30605063,0.3129885,0.38096087,0.25,0.64644179,0.76321894,0.76109682,0.77635944,0.97307741,,,,,,,,,,,,,,,,,,,,,,,
53,9.9562063e-06,0.33302911,0.33302911,0,0.3632103,0.06949389,0.029016906,,,,,,,,,,,,,0.0010131672,0.29175878,0.33418457,0.37405664,0.25,0.74102227,0.84495678,0.83417837,0.86310142,0.97655314,,,,,,,,,,,,,,,,,,,,,,,
54,9.9541965e-06,0.33926608,0.33926608,0,0.37021444,0.068227378,0.030744714,,,,,,,,,,,,,0.0010134714,0.29123029,0.34076303,0.36800668,0.25,0.68151448,0.79293042,0.78290721,0.82865709,0.97504813,,,,,,,,,,,,,,,,,,,,,,,
55,9.9521418e-06,0.33619319,0.33619319,0,0.3668809,0.066701607,0.033213256,,,,,,,,,,,,,0.0010137221,0.28998395,0.32991218,0.38010387,0.25,0.68240011,0.79302526,0.78705931,0.82689104,0.97064266,,,,,,,,,,,,,,,,,,,,,,,
56,9.9500423e-06,0.33909637,0.33909637,0,0.36982408,0.069768947,0.033659745,,,,,,,,,,,,,0.0010139552,0.27855588,0.33142981,0.39001431,0.25,0.67493338,0.78897873,0.77648531,0.81227013,0.97271366,,,,,,,,,,,,,,,,,,,,,,,
57,9.947898e-06,0.32444812,0.32444812,0,0.35427743,0.063699238,0.025124879,,,,,,,,,,,,,0.0010141408,0.29399195,0.36271008,0.34329798,0.25,0.7074818,0.81792949,0.80152941,0.84284896,0.97942247,,,,,,,,,,,,,,,,,,,,,,,
58,9.9457089e-06,0.33397476,0.33397476,0,0.36471758,0.06439114,0.028882516,,,,,,,,,,,,,0.0010144519,0.31558689,0.32864623,0.35576689,0.25,0.66185771,0.77744272,0.76277518,0.82853918,0.97352438,,,,,,,,,,,,,,,,,,,,,,,
59,9.943475e-06,0.3284395,0.3284395,0,0.35817503,0.068219051,0.031222696,,,,,,,,,,,,,0.0010147707,0.2996837,0.34009251,0.3602238,0.25,0.66974805,0.78157798,0.77124916,0.8107063,0.97352244,0.31983769,0.67465179,0.78881876,0.75373781,0.85990959,0.97832746,,,,,,,,,,,,,0.0010149567,0.29634359,0.34120356,0.36245285,0.25
60,9.9411964e-06,0.3219988,0.3219988,0,0.35103947,0.067969223,0.031287372,,,,,,,,,,,,,0.0010150828,0.30638119,0.33418393,0.35943488,0.25,0.70154433,0.80553441,0.79488365,0.82636639,0.9751708,,,,,,,,,,,,,,,,,,,,,,,
61,9.938873e-06,0.32898796,0.32898796,0,0.35907901,0.065412377,0.029193447,,,,,,,,,,,,,0.001015326,0.29252853,0.37242579,0.33504568,0.25,0.67876279,0.78762539,0.78088144,0.8131702,0.97619553,,,,,,,,,,,,,,,,,,,,,,,
62,9.936505e-06,0.32306729,0.32306729,0,0.35165968,0.073972275,0.032790439,,,,,,,,,,,,,0.0010156591,0.31164374,0.34238544,0.34597081,0.25,0.68255327,0.79935365,0.79745016,0.8109313,0.97473412,,,,,,,,,,,,,,,,,,,,,,,
63,9.9340923e-06,0.31910551,0.31910551,0,0.34788971,0.067706543,0.029412972,,,,,,,,,,,,,0.0010159828,0.29479387,0.36647493,0.3387312,0.25,0.69639024,0.80985445,0.79865348,0.83134896,0.97577941,,,,,,,,,,,,,,,,,,,,,,,
64,9.9316349e-06,0.32005771,0.32005771,0,0.34904931,0.066403882,0.030051262,,,,,,,,,,,,,0.001016253,0.28692215,0.34946765,0.3636102,0.25,0.67133981,0.78285211,0.78361383,0.79648521,0.97363196,,,,,,,,,,,,,,,,,,,,,,,
65,9.9291329e-06,0.3121474,0.3121474,0,0.34123145,0.057677888,0.021243191,,,,,,,,,,,,,0.0010165903,0.29623107,0.35760985,0.34615908,0.25,0.72448628,0.83444923,0.81850407,0.86203316,0.98240425,,,,,,,,,,,,,,,,,,,,,,,
66,9.9265863e-06,0.31125922,0.31125922,0,0.33985853,0.060925123,0.025627507,,,,,,,,,,,,,0.0010168989,0.30158988,0.35199622,0.3464139,0.25,0.71358464,0.82127941,0.79781887,0.86455063,0.98016357,,,,,,,,,,,,,,,,,,,,,,,
67,9.9239951e-06,0.31220942,0.31220942,0,0.34080281,0.06250823,0.024311842,,,,,,,,,,,,,0.0010172215,0.29956606,0.34098662,0.35944733,0.25,0.68765255,0.79628807,0.78316151,0.83181455,0.97996648,,,,,,,,,,,,,,,,,,,,,,,
68,9.9213594e-06,0.31048763,0.31048763,0,0.33870729,0.0632588,0.029518597,,,,,,,,,,,,,0.001017533,0.30132674,0.33878593,0.35988733,0.25,0.68758652,0.80114242,0.801822,0.81211694,0.97373738,,,,,,,,,,,,,,,,,,,,,,,
69,9.9186791e-06,0.29797286,0.29797286,0,0.32464552,0.066225013,0.024694951,,,,,,,,,,,,,0.0010178306,0.29965409,0.35386171,0.3464842,0.25,0.73880886,0.84521228,0.82813827,0.86894703,0.98008687,0.29260611,0.68519994,0.79471533,0.81872681,0.79897217,0.98083928,,,,,,,,,,,,,0.0010179449,0.29146433,0.35473655,0.35379912,0.25
70,9.9159544e-06,0.29179031,0.29179031,0,0.31767852,0.066561823,0.027735045,,,,,,,,,,,,,0.0010180478,0.29796283,0.34280931,0.35922786,0.25,0.76633444,0.85606319,0.84332742,0.8707442,0.97985655,,,,,,,,,,,,,,,,,,,,,,,
71,9.9131852e-06,0.29762766,0.29762766,0,0.32369875,0.071822949,0.027647938,,,,,,,,,,,,,0.0010183428,0.30043769,0.34637353,0.35318878,0.25,0.72762896,0.83643136,0.82876089,0.84819869,0.97663145,,,,,,,,,,,,,,,,,,,,,,,
72,9.9103715e-06,0.29588573,0.29588573,0,0.32209411,0.068103558,0.02763741,,,,,,,,,,,,,0.0010186184,0.28731927,0.36246113,0.35021961,0.25,0.71126952,0.8222034,0.80930509,0.85079586,0.97839533,,,,,,,,,,,,,,,,,,,,,,,
