epoch,lr,train_loss,train_main_loss,train_aux_loss,train_edge_loss,train_predict_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_query_bce,train_loss_query_dice,train_loss_query_no_object,train_loss_query_weight_scale,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,val_loss,val_main_loss,val_aux_loss,val_edge_loss,val_predict_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_query_bce,val_loss_query_dice,val_loss_query_no_object,val_loss_query_weight_scale,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy
27,0.00029841004,0.58317724,0.58317724,,0.49151401,0.091663223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61918135,0.74673483,0.82587958,0.71595373,0.96826535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00029826906,0.55976727,0.55976727,,0.47331105,0.086456219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69062688,0.80827716,0.79558682,0.83422108,0.97249448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00029812211,0.54262949,0.54262949,,0.46610222,0.076527271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70112784,0.81683596,0.81403791,0.82743215,0.97476106,0.65218095,0.65218095,,0.59183891,0.060342045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73083346,0.83116297,0.80044505,0.88430407,0.9777078
30,0.00029796923,0.5671072,0.5671072,,0.48921757,0.077889633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67058209,0.79201826,0.81958773,0.78601179,0.97339043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.0002978104,0.52509659,0.52509659,,0.43420709,0.090889496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64897106,0.77573192,0.7691305,0.80677643,0.97051624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00029764564,0.56753202,0.56753202,,0.49631951,0.071212517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70570185,0.8195053,0.85018578,0.80063958,0.97645048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00029747495,0.58641169,0.58641169,,0.51235717,0.074054521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69435868,0.81132719,0.81581524,0.81915684,0.97312353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00029729834,0.51613189,0.51613189,,0.4494149,0.066716987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69233161,0.80981604,0.82917825,0.80796752,0.97953644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00029711582,0.56631211,0.56631211,,0.49098327,0.075328833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66045373,0.78768022,0.79982264,0.79482347,0.97443576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00029692739,0.52779605,0.52779605,,0.46657501,0.061221046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72253753,0.83249652,0.83374518,0.83983783,0.97907499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00029673307,0.5261783,0.5261783,,0.45964553,0.066532766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69371232,0.80869941,0.84574691,0.78575469,0.97748859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00029653285,0.50833417,0.50833417,,0.44516884,0.063165331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73266466,0.83727818,0.821169,0.87063157,0.97867583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00029632675,0.50574441,0.50574441,,0.44565759,0.060086819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69991771,0.81635833,0.79808057,0.8437004,0.97935544,0.64277872,0.64277872,,0.58406387,0.058714839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74443766,0.83913197,0.81992737,0.88268595,0.97911288
40,0.00029611478,0.52359777,0.52359777,,0.4569119,0.066685873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72862705,0.835006,0.82567889,0.84932432,0.97892966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00029589694,0.49449854,0.49449854,,0.43370719,0.060791341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70118132,0.81020634,0.83532049,0.79848747,0.9791537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00029567325,0.51653105,0.51653105,,0.45395035,0.062580698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71398968,0.8263335,0.85779008,0.80326233,0.97904615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00029544371,0.53533174,0.53533174,,0.46803619,0.067295548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7503712,0.85134197,0.84966089,0.858511,0.97756796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00029520833,0.48804413,0.48804413,,0.43298625,0.055057873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73699026,0.84141816,0.84688628,0.84046952,0.9812952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00029496712,0.56370066,0.56370066,,0.50142315,0.06227751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74689972,0.85006447,0.85035482,0.85395212,0.97866615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.0002947201,0.51179872,0.51179872,,0.44814311,0.06365561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72209799,0.8326076,0.84944082,0.82692353,0.97820748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
