# model=B23TFCUCCMFGMLiteModel tfcu=ccm_fgm_lite lora_rank=32 input_size=512 num_clips=2 num_frames=4
# loss=1*dice + 0.5*bce + 0.2*tversky + 0.15*boundary aux=0.05*ccm_mask32 + 0.1*fgm_mask32 + 0.2*mask128 + 0.1*boundary128
# train_samples=DAVIS-VI_tra_DVI_30.npy;DAVIS-VI_tra_CPNET_30.npy val_samples=DAVIS-VI_val_DVI_20.npy;DAVIS-VI_val_CPNET_20.npy
# batch_size=1 lr=0.0001 params_total=318311063 params_trainable=15005591
epoch,lr,train_loss,train_main_loss,train_aux_loss,train_aux_boundary128_loss,train_aux_ccm_mask32_loss,train_aux_fgm_mask32_loss,train_aux_mask128_loss,train_bce_loss,train_boundary_loss,train_dice_loss,train_tversky_loss,train_iou,train_f1,train_precision,train_recall,train_accuracy,val_loss,val_iou,val_f1,val_precision,val_recall,val_accuracy
55,9.9521418e-06,0.2730492,0.20027472,0.072774479,0.067158172,0.19276027,0.20590562,0.17915043,0.056700084,0.054698351,0.1386775,0.12521211,0.79828248,0.88315535,0.86535141,0.90468425,0.98474838,,,,,,
56,9.9500423e-06,0.30256458,0.22273056,0.079834019,0.063506593,0.21319474,0.22651764,0.20085929,0.05886437,0.049678962,0.15724795,0.14299289,0.78839238,0.87087148,0.84803611,0.90042646,0.98419603,,,,,,
57,9.947898e-06,0.32838624,0.24233907,0.086047172,0.062984781,0.23408256,0.24569316,0.21737624,0.058367424,0.050151685,0.17354959,0.16041506,0.75913449,0.8510825,0.83295414,0.87679632,0.98459693,,,,,,
58,9.9457089e-06,0.31646564,0.2327008,0.083764839,0.06204492,0.22904308,0.24111046,0.20998573,0.058229987,0.051851329,0.16571865,0.15044728,0.76948349,0.85971182,0.83623598,0.88970341,0.98437402,,,,,,
59,9.943475e-06,0.24562373,0.17790873,0.067715004,0.066066859,0.18004364,0.19067759,0.16519188,0.054756908,0.055821266,0.1200174,0.11069842,0.81483273,0.894056,0.87935631,0.91178798,0.98506793,0.33180841,0.75761068,0.84059734,0.80719028,0.91747163,0.97383874
60,9.9411964e-06,0.31759443,0.23425318,0.083341245,0.058649251,0.22875943,0.24331928,0.2085321,0.055701182,0.051436849,0.16787288,0.15407093,0.7636446,0.85510729,0.83369212,0.88490353,0.98569619,,,,,,
61,9.938873e-06,0.27155871,0.19789818,0.07366053,0.063143099,0.19810055,0.20934063,0.18253565,0.056641733,0.05083989,0.13715224,0.12399545,0.7987247,0.87890486,0.85485029,0.91033589,0.98436834,,,,,,
62,9.936505e-06,0.29524516,0.21588678,0.07935838,0.062061359,0.21677773,0.22927983,0.19692687,0.055005591,0.054012683,0.1522675,0.14007291,0.77784738,0.86710762,0.84757224,0.89178936,0.98536713,,,,,,
63,9.9340923e-06,0.28937056,0.20953996,0.079830596,0.068035942,0.21780718,0.22781108,0.19677767,0.061243091,0.054752068,0.1437975,0.13454053,0.78953274,0.87480764,0.86066127,0.89405902,0.98300275,,,,,,
64,9.9316349e-06,0.30833496,0.22558583,0.082749128,0.060699103,0.22431443,0.24066643,0.20698426,0.056576037,0.051858906,0.16002906,0.14744954,0.77537018,0.86198421,0.83863353,0.89141013,0.98468287,,,,,,
65,9.9291329e-06,0.31113101,0.22690566,0.084225345,0.065352428,0.23052061,0.24199202,0.20982434,0.059114745,0.055738263,0.15942103,0.14783261,0.77193695,0.85983365,0.84031842,0.88692283,0.98384669,,,,,,
66,9.9265863e-06,0.292068,0.21009963,0.081968365,0.071697505,0.22266545,0.23504995,0.20080173,0.066692403,0.059463473,0.14162934,0.13102283,0.78081394,0.87148525,0.85166162,0.89636435,0.98151408,,,,,,
67,9.9239951e-06,0.2821257,0.20520216,0.076923548,0.063549179,0.20919617,0.21846223,0.19131299,0.055346216,0.052950553,0.14329173,0.13147367,0.79633947,0.87222973,0.84844967,0.90330644,0.98470736,,,,,,
68,9.9213594e-06,0.30683483,0.22386282,0.082972003,0.061648983,0.22743826,0.24013026,0.20711082,0.056254049,0.054666369,0.15840728,0.14564281,0.76985615,0.86022419,0.83569919,0.89083334,0.98468093,,,,,,
69,9.9186791e-06,0.23728088,0.17071956,0.066561321,0.056442551,0.18130165,0.19553333,0.16149325,0.050267763,0.050082571,0.11650782,0.10782736,0.81848743,0.89556769,0.87962659,0.91459492,0.98583669,0.27139236,0.80461944,0.88156337,0.86941842,0.90583915,0.98420806
