epoch,lr,train_loss,train_main_loss,train_aux_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,train_temporal_encoder_enabled,train_ttf_enabled,train_ttf_patch_count,train_ttf_temporal_len,val_loss,val_main_loss,val_aux_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy,val_temporal_encoder_enabled,val_ttf_enabled,val_ttf_patch_count,val_ttf_temporal_len
24,9.994903e-06,1.1935494,1.1935494,,,,,,,,,,,,,,,,,,,0.019349162,0.00042434037,1.1935494,,0.40772704,,0.71125707,0.37282667,,,0.62035753,0.7540323,0.66936387,0.90694205,0.95998926,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,9.9942009e-06,1.2056454,1.2056454,,,,,,,,,,,,,,,,,,,0.019210815,0.00038574117,1.2056454,,0.40884184,,0.724471,0.36166283,,,0.60971784,0.73870481,0.64753854,0.90517832,0.96016448,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,9.9934536e-06,1.2027909,1.2027909,,,,,,,,,,,,,,,,,,,0.019407145,0.0004578158,1.2027909,,0.40594804,,0.72613508,0.35353893,,,0.59157962,0.72959503,0.62998635,0.90694442,0.9604041,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,9.992661e-06,1.1848858,1.1848858,,,,,,,,,,,,,,,,,,,0.019355265,0.00042074223,1.1848858,,0.39915009,,0.71596007,0.34887838,,,0.61696685,0.75197092,0.65136667,0.92055308,0.96303152,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,9.9918231e-06,1.1802637,1.1802637,,,,,,,,,,,,,,,,,,,0.019320679,0.00042297556,1.1802637,,0.39499086,,0.71726936,0.34001718,,,0.61888677,0.7544768,0.66116932,0.91210951,0.96238685,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,9.99094e-06,1.1452449,1.1452449,,,,,,,,,,,,,,,,,,,0.019330851,0.0004340334,1.1452449,,0.38438918,,0.69357718,0.33639249,,,0.66265979,0.78895201,0.70261678,0.9232102,0.96674855,1,1,1024,4,1.1877648,1.1877648,,,,,,,,,,,,,,,,,,,0.019225109,0.0003869533,1.1877648,,0.41713362,,0.7019134,0.34358904,,,0.5806858,0.71015054,0.6040426,0.94938569,0.95118504,1,1,1024,4
30,9.9900117e-06,1.1733276,1.1733276,,,,,,,,,,,,,,,,,,,0.018994141,0.00038089885,1.1733276,,0.39533801,,0.71100008,0.33494762,,,0.60423313,0.73162396,0.64793002,0.89621613,0.95964109,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,9.9890382e-06,1.1632749,1.1632749,,,,,,,,,,,,,,,,,,,0.018700155,0.00031572457,1.1632749,,0.38628562,,0.71199993,0.3249465,,,0.63716486,0.76855015,0.68756897,0.90520053,0.96494078,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,9.9880195e-06,1.144014,1.144014,,,,,,,,,,,,,,,,,,,0.018811035,0.00034807044,1.144014,,0.38298165,,0.69740434,0.3181402,,,0.63207972,0.76207642,0.68173058,0.892066,0.9624891,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,9.9869556e-06,1.187269,1.187269,,,,,,,,,,,,,,,,,,,0.018871053,0.00035370713,1.187269,,0.38929667,,0.73615906,0.30906619,,,0.59872515,0.73640334,0.63018696,0.91753613,0.96356628,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,9.9858465e-06,1.1757782,1.1757782,,,,,,,,,,,,,,,,,,,0.018945312,0.0003757903,1.1757782,,0.38704995,,0.72758407,0.30572095,,,0.59443038,0.73372785,0.64605511,0.87222384,0.9627514,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,9.9846922e-06,1.1712516,1.1712516,,,,,,,,,,,,,,,,,,,0.019074504,0.00041377806,1.1712516,,0.38024496,,0.73184283,0.29581902,,,0.61803431,0.7538849,0.6538429,0.91524079,0.96623426,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,9.9834928e-06,1.1318255,1.1318255,,,,,,,,,,,,,,,,,,,0.019043986,0.0003959415,1.1318255,,0.3713757,,0.70228485,0.29082497,,,0.6414423,0.77148184,0.6671776,0.94060153,0.96629333,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,9.9822482e-06,1.1379282,1.1379282,,,,,,,,,,,,,,,,,,,0.018702189,0.0003358812,1.1379282,,0.37060713,,0.70898686,0.29167089,,,0.64114649,0.76606406,0.68438784,0.89150167,0.96630835,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,9.9809585e-06,1.1282109,1.1282109,,,,,,,,,,,,,,,,,,,0.018537394,0.00032800695,1.1282109,,0.36228177,,0.70972636,0.28101386,,,0.66732584,0.79414015,0.69868875,0.93287571,0.97028045,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,9.9796237e-06,1.1563029,1.1563029,,,,,,,,,,,,,,,,,,,0.01861674,0.00032468153,1.1563029,,0.36869568,,0.73230396,0.2765162,,,0.62666626,0.76020691,0.66294506,0.9052241,0.96980461,1,1,1024,4,1.1220803,1.1220803,,,,,,,,,,,,,,,,,,,0.018556913,0.00030148979,1.1220803,,0.36821501,,0.69281243,0.30526442,,,0.63133941,0.75529664,0.66556736,0.93371529,0.96271994,1,1,1024,4
40,9.9782437e-06,1.1185897,1.1185897,,,,,,,,,,,,,,,,,,,0.018510946,0.00031921668,1.1185897,,0.36254792,,0.70013872,0.27951551,,,0.64222157,0.76612908,0.6782968,0.91542449,0.96650532,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,9.9768187e-06,1.1201236,1.1201236,,,,,,,,,,,,,,,,,,,0.018443807,0.00031247279,1.1201236,,0.35787532,,0.7077235,0.27262393,,,0.65495348,0.78067286,0.68387037,0.92728382,0.97066491,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,9.9753485e-06,1.1178788,1.1178788,,,,,,,,,,,,,,,,,,,0.018575033,0.00032345971,1.1178788,,0.35346178,,0.71162412,0.26396439,,,0.66047486,0.78741221,0.70118383,0.91231208,0.97211742,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,9.9738333e-06,1.0719409,1.0719409,,,,,,,,,,,,,,,,,,,0.018626912,0.0003500901,1.0719409,,0.34372321,,0.67614748,0.26035115,,,0.69526359,0.81472901,0.72611039,0.93447358,0.97079839,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,9.9722731e-06,1.0870839,1.0870839,,,,,,,,,,,,,,,,,,,0.018611654,0.00034876082,1.0870839,,0.34438717,,0.69201412,0.25341284,,,0.68188082,0.80367742,0.71295317,0.92950329,0.97274071,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,9.9706678e-06,1.0404364,1.0404364,,,,,,,,,,,,,,,,,,,0.018607585,0.00036025859,1.0404364,,0.33476635,,0.65487544,0.25397278,,,0.70149082,0.82063106,0.74181866,0.92618019,0.96969819,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,9.9690175e-06,1.0858199,1.0858199,,,,,,,,,,,,,,,,,,,0.018586222,0.00034849683,1.0858199,,0.34548718,,0.68958168,0.25375522,,,0.66938263,0.79356895,0.71558346,0.90718268,0.96756424,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,9.9673222e-06,1.0506242,1.0506242,,,,,,,,,,,,,,,,,,,0.018440755,0.00032581152,1.0506242,,0.33109756,,0.67121315,0.24156754,,,0.69838766,0.81362984,0.72887101,0.93318888,0.97267499,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,9.9655819e-06,1.1116924,1.1116924,,,,,,,,,,,,,,,,,,,0.018499756,0.00033934878,1.1116924,,0.3461155,,0.71705399,0.24261437,,,0.64123854,0.76489308,0.68762376,0.87307936,0.96988275,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,9.9637967e-06,1.0411119,1.0411119,,,,,,,,,,,,,,,,,,,0.018511963,0.00035274295,1.0411119,,0.32924064,,0.66395322,0.23959008,,,0.67692382,0.79295456,0.71569446,0.90554125,0.97154242,1,1,1024,4,1.054831,1.054831,,,,,,,,,,,,,,,,,,,0.018468851,0.00030770372,1.054831,,0.3216475,,0.6835943,0.24794607,,,0.67526648,0.7866299,0.73184758,0.90347858,0.97086842,1,1,1024,4
