epoch,lr,train_loss,train_main_loss,train_aux_loss,train_aux_boundary128_loss,train_bce_loss,train_dice_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_query_bce,train_loss_query_dice,train_loss_query_no_object,train_loss_query_weight_scale,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,train_local_attention_entropy,train_local_attention_max,train_local_candidate_count,train_local_delta_ratio,train_local_neighborhood_disabled,train_local_per_layer,train_local_spatial_radius,train_local_temporal_radius,train_relay_absorb_attention_max,train_relay_attention_entropy,train_relay_delta_ratio,train_relay_inject_attention_max,train_relay_token_norm,train_temporal_output_std,train_temporal_relay_disabled,val_loss,val_main_loss,val_aux_loss,val_aux_boundary128_loss,val_bce_loss,val_dice_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_query_bce,val_loss_query_dice,val_loss_query_no_object,val_loss_query_weight_scale,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy,val_local_attention_entropy,val_local_attention_max,val_local_candidate_count,val_local_delta_ratio,val_local_neighborhood_disabled,val_local_per_layer,val_local_spatial_radius,val_local_temporal_radius,val_relay_absorb_attention_max,val_relay_attention_entropy,val_relay_delta_ratio,val_relay_inject_attention_max,val_relay_token_norm,val_temporal_output_std,val_temporal_relay_disabled
3,1.9999952e-05,1.9783207,1.2808897,0.69743094,0.69743094,0.49229873,0.78859099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36944219,0.51591595,0.39386179,0.88108294,0.90263957,3.0347046,0.27827207,27,0.19567301,0,1,1,1,0.0067529509,2.2911344,0.69071274,0.57401104,31.343924,1.0000199,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.9999892e-05,1.8943355,1.2063664,0.68796906,0.68796906,0.46905941,0.73730699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47535008,0.62563598,0.51210071,0.90227698,0.9326715,3.034391,0.25905163,27,0.19447507,0,1,1,1,0.0056344521,2.290335,0.73232774,0.56832449,32.682549,0.99999537,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.9999807e-05,1.8827161,1.2326216,0.65009456,0.65009456,0.45567063,0.77695091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48094377,0.63542979,0.53106688,0.86656723,0.94351863,3.035163,0.27296177,27,0.19484489,0,1,1,1,0.0059858796,2.2896592,0.77470747,0.56996064,33.907705,0.99991062,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.9999699e-05,1.8777615,1.2240336,0.65372788,0.65372788,0.45961262,0.76442103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4214496,0.56135342,0.45179575,0.78449201,0.93376516,3.0344347,0.25947575,27,0.19742132,0,1,1,1,0.0060785107,2.2898268,0.76892417,0.56988108,34.953912,0.99988858,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.9999566e-05,1.8001015,1.1699397,0.63016177,0.63016177,0.4181628,0.75177692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55719469,0.70295938,0.64282488,0.84597613,0.96221838,3.0340591,0.27996565,27,0.19661583,0,1,1,1,0.0060626705,2.2903608,0.8113717,0.55818754,35.958177,0.99981121,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.9999409e-05,1.8092188,1.19376,0.61545873,0.61545873,0.43775292,0.75600713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49457506,0.63643968,0.57176257,0.79275375,0.94949544,3.0331724,0.27026575,27,0.19538696,0,1,1,1,0.0066133951,2.2901322,0.80760585,0.56509578,36.745323,0.99976602,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.9999229e-05,1.7642865,1.1563977,0.60788875,0.60788875,0.42498163,0.73141612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53346143,0.67217132,0.57461053,0.84787733,0.94631679,3.0318039,0.27637678,27,0.19436469,0,1,1,1,0.0070482995,2.2904697,0.80205812,0.56106162,37.309538,0.99976782,0,1.7535048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52911578,0.66949119,0.58760826,0.82981979,0.93616839,3.0311049,0.29057399,27,0.19606388,0,1,1,1,0.0080461233,2.2901251,0.77508812,0.56407219,74.266737,0.99978346,0
10,1.9999024e-05,1.7844034,1.1832292,0.60117422,0.60117422,0.42562558,0.75760358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4788349,0.62013702,0.53624469,0.77307647,0.94888326,3.0307309,0.27099976,27,0.19533572,0,1,1,1,0.0079425602,2.2905814,0.79824379,0.55879946,38.102295,0.99966433,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1.9998795e-05,1.7586167,1.1780459,0.58057084,0.58057084,0.4121932,0.7658527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50686944,0.64766958,0.59010479,0.76650936,0.95450246,3.0315662,0.26583438,27,0.19958414,0,1,1,1,0.0094023219,2.2887805,0.79725879,0.56841909,37.663762,0.99955841,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1.9998542e-05,1.7410438,1.171269,0.56977476,0.56977476,0.40656512,0.76470388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54135523,0.68963014,0.57323432,0.90368961,0.95957408,3.0299672,0.26990049,27,0.19719387,0,1,1,1,0.012028111,2.2893134,0.78583044,0.57079685,36.954237,0.99945885,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1.9998264e-05,1.7797647,1.2263119,0.55345274,0.55345274,0.41461414,0.81169779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51002487,0.66912743,0.54695514,0.88645436,0.96219808,3.0291808,0.2621209,27,0.1972541,0,1,1,1,0.017813009,2.2868903,0.76822094,0.57524883,37.672783,0.99928372,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1.9997963e-05,1.6619076,1.1072656,0.55464201,0.55464201,0.37768741,0.72957821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57086163,0.71567484,0.64960687,0.83882445,0.96285426,3.0284035,0.26838381,27,0.20100738,0,1,1,1,0.018813482,2.2840175,0.77080915,0.59759908,38.343951,0.9992616,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
