epoch,lr,train_loss,train_main_loss,train_aux_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_query_bce,train_loss_query_dice,train_loss_query_no_object,train_loss_query_weight_scale,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,val_loss,val_main_loss,val_aux_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_query_bce,val_loss_query_dice,val_loss_query_no_object,val_loss_query_weight_scale,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy
28,0.00029826906,3.6614952,3.6614952,,,,,,,,,,,,,,,,,,,,,,,,,,0.6283569,,,,,,,0.7357124,0.8433115,0.90398409,0.79859335,0.97959414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00029812211,3.6855859,3.6855859,,,,,,,,,,,,,,,,,,,,,,,,,,0.63280453,,,,,,,0.75320535,0.85563426,0.85253171,0.86530638,0.98015327,3.3940871,3.3940871,,,,,,,,,,,,,,,,,,,,,,,,,,0.59320973,,,,,,,0.75939191,0.85110322,0.83288745,0.88580336,0.9808963
30,0.00029796923,3.6103996,3.6103996,,,,,,,,,,,,,,,,,,,,,,,,,,0.61940224,,,,,,,0.75847539,0.8585562,0.87419017,0.84835003,0.98182344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.0002978104,3.7000783,3.7000783,,,,,,,,,,,,,,,,,,,,,,,,,,0.63724684,,,,,,,0.74755173,0.84794866,0.86109822,0.84386979,0.97970572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00029764564,3.7480562,3.7480562,,,,,,,,,,,,,,,,,,,,,,,,,,0.64508608,,,,,,,0.73443757,0.84139831,0.87348621,0.82094592,0.97904948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00029747495,3.7618864,3.7618864,,,,,,,,,,,,,,,,,,,,,,,,,,0.6382407,,,,,,,0.73669007,0.84449499,0.83812717,0.85898659,0.97903538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00029729834,3.7554027,3.7554027,,,,,,,,,,,,,,,,,,,,,,,,,,0.64196862,,,,,,,0.70365947,0.82175187,0.85541686,0.79713192,0.97913964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00029711582,3.7755259,3.7755259,,,,,,,,,,,,,,,,,,,,,,,,,,0.64501421,,,,,,,0.70544543,0.82110482,0.86547853,0.79218056,0.97811876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00029692739,3.6605396,3.6605396,,,,,,,,,,,,,,,,,,,,,,,,,,0.62860555,,,,,,,0.72608971,0.83647735,0.89371248,0.79718492,0.98081841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00029673307,3.8085543,3.8085543,,,,,,,,,,,,,,,,,,,,,,,,,,0.66267666,,,,,,,0.74036675,0.84537748,0.80330105,0.89875691,0.97958903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
