epoch,lr,train_loss,train_main_loss,train_aux_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,train_videomt_enabled,train_videomt_query_alpha,val_loss,val_main_loss,val_aux_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy,val_videomt_enabled,val_videomt_query_alpha
26,9.9934536e-06,1.2472993,1.2472993,,,,,,,,,,,,,,,,,,,,,1.2472993,,0.50050022,,0.74679909,0,,,0.46140149,0.60575295,0.49035589,0.88604269,0.92091201,1,-0.0027134497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,9.992661e-06,1.2563452,1.2563452,,,,,,,,,,,,,,,,,,,,,1.2563452,,0.49803742,,0.75830777,0,,,0.48132221,0.63272402,0.51887553,0.87225124,0.92907937,1,-0.0025374111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,9.9918231e-06,1.2424482,1.2424482,,,,,,,,,,,,,,,,,,,,,1.2424482,,0.49036297,,0.75208523,0,,,0.48926855,0.63665969,0.50778476,0.92281877,0.93226166,1,-0.0027190531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,9.99094e-06,1.2209541,1.2209541,,,,,,,,,,,,,,,,,,,,,1.2209541,,0.47969902,,0.74125509,0,,,0.52483736,0.66910382,0.54678231,0.91566322,0.939866,1,-0.0028301652,1.2441302,1.2441302,,,,,,,,,,,,,,,,,,,,,1.2441302,,0.46913565,,0.77499456,0,,,0.48293107,0.6189266,0.51532872,0.91075412,0.94488284,1,-0.0028962672
30,9.9900117e-06,1.2501661,1.2501661,,,,,,,,,,,,,,,,,,,,,1.2501661,,0.48498781,,0.76517828,0,,,0.49359173,0.64610151,0.50516571,0.94319641,0.93869893,1,-0.002957678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,9.9890382e-06,1.2271827,1.2271827,,,,,,,,,,,,,,,,,,,,,1.2271827,,0.47421174,,0.75297097,0,,,0.50222751,0.64422468,0.5510992,0.88860123,0.93147221,1,-0.0030403675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,9.9880195e-06,1.1925351,1.1925351,,,,,,,,,,,,,,,,,,,,,1.1925351,,0.46425956,,0.72827556,0,,,0.57688591,0.72315,0.59940212,0.94057817,0.9461683,1,-0.0031030755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,9.9869556e-06,1.261028,1.261028,,,,,,,,,,,,,,,,,,,,,1.261028,,0.4875779,,0.77345012,0,,,0.45913376,0.60638426,0.4792797,0.90060604,0.93230728,1,-0.0030990326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,9.9858465e-06,1.2272424,1.2272424,,,,,,,,,,,,,,,,,,,,,1.2272424,,0.4788722,,0.74837018,0,,,0.50888968,0.65565919,0.53760302,0.8845423,0.93738515,1,-0.0029718709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,9.9846922e-06,1.2300456,1.2300456,,,,,,,,,,,,,,,,,,,,,1.2300456,,0.47715912,,0.75288647,0,,,0.5066922,0.66323304,0.53736165,0.90163738,0.93760468,1,-0.0029910372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
