# model=B23VideoMTWindowModel tfcu=videomt_window lora_rank=32 input_size=512 num_clips=1 num_frames=4
# loss=videomt aux=
# train_samples=DAVIS-VI_tra_DVI_30.npy;DAVIS-VI_tra_CPNET_30.npy val_samples=DAVIS-VI_val_DVI_20.npy;DAVIS-VI_val_CPNET_20.npy
# batch_size=2 lr=0.0001 params_total=343355218 params_trainable=40201042
epoch,lr,train_loss,train_main_loss,train_aux_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,train_videomt_enabled,train_videomt_query_alpha,val_loss,val_main_loss,val_aux_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy,val_videomt_enabled,val_videomt_query_alpha
205,9.1572901e-06,0.82724,0.82724,,,,,,,,,,,,,,,,,,,,,0.82724,,0.22718531,,0.60005467,0,,,0.70454882,0.82150304,0.76069029,0.89413173,0.97121312,1,-0.0045608832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,9.1489517e-06,0.82988994,0.82988994,,,,,,,,,,,,,,,,,,,,,0.82988994,,0.23603318,,0.59385676,0,,,0.69093598,0.81211737,0.75080891,0.89079909,0.9680192,1,-0.0046538626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,9.1405765e-06,0.82846781,0.82846781,,,,,,,,,,,,,,,,,,,,,0.82846781,,0.23231152,,0.59615628,0,,,0.67888278,0.8035676,0.72975124,0.89827478,0.96813246,1,-0.0047549884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,9.1321646e-06,0.89882064,0.89882064,,,,,,,,,,,,,,,,,,,,,0.89882064,,0.24808101,,0.65073964,0,,,0.60572842,0.74415138,0.67220921,0.85730319,0.96450624,1,-0.004763186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,9.1237162e-06,0.85657143,0.85657143,,,,,,,,,,,,,,,,,,,,,0.85657143,,0.24414875,,0.61242268,0,,,0.62610348,0.74481058,0.66976567,0.85488696,0.96323643,1,-0.0048495014,0.81275146,0.81275146,,,,,,,,,,,,,,,,,,,,,0.81275146,,0.19597232,,0.61677914,0,,,0.70239844,0.80898861,0.75831563,0.90326431,0.9816835,1,-0.0049163769
210,9.1152312e-06,0.79318979,0.79318979,,,,,,,,,,,,,,,,,,,,,0.79318979,,0.2199628,,0.573227,0,,,0.71584597,0.82748957,0.7749911,0.89534391,0.97101526,1,-0.0049455836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,9.1067099e-06,0.89386955,0.89386955,,,,,,,,,,,,,,,,,,,,,0.89386955,,0.24676256,,0.64710699,0,,,0.62394165,0.75512558,0.68750635,0.85310855,0.96455765,1,-0.0049962553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,9.0981522e-06,0.89038164,0.89038164,,,,,,,,,,,,,,,,,,,,,0.89038164,,0.25753646,,0.63284518,0,,,0.62973962,0.74576939,0.68733793,0.84716663,0.96157258,1,-0.0048014697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,9.0895583e-06,0.7941974,0.7941974,,,,,,,,,,,,,,,,,,,,,0.7941974,,0.22918501,,0.56501239,0,,,0.68296587,0.80386714,0.74075236,0.89009272,0.965566,1,-0.0046718611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,9.0809283e-06,0.84189128,0.84189128,,,,,,,,,,,,,,,,,,,,,0.84189128,,0.23153685,,0.61035444,0,,,0.66691295,0.79705766,0.73176893,0.88245472,0.96615969,1,-0.0045332939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
