# model=B23VideoMTWindowModel tfcu=videomt_window_final_fast lora_rank=32 input_size= num_clips=1 num_frames=5
# loss=videomt_query_mask + 1*query_mask aux=
# train_samples=DAVIS-VI_tra_DVI_30.npy;DAVIS-VI_tra_CPNET_30.npy val_samples=DAVIS-VI_val_DVI_20.npy;DAVIS-VI_val_CPNET_20.npy
# batch_size=1 lr=0.0001 params_total=309258322 params_trainable=6104146
epoch,lr,train_loss,train_main_loss,train_aux_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_query_bce,train_loss_query_dice,train_loss_query_no_object,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,train_videomt_enabled,train_videomt_final,val_loss,val_main_loss,val_aux_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_query_bce,val_loss_query_dice,val_loss_query_no_object,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy,val_videomt_enabled,val_videomt_final
39,4.5319783e-05,0.49957749,0.49957749,,,,,,,,,,,,,,,,,,,,,0.49957749,,0.085994135,,0.2083378,0.28833669,0.05558831,0.32261516,0.017269792,,,0.69682898,0.81282072,0.77644059,0.86106903,0.97867897,1,1,0.79818832,0.79818832,,,,,,,,,,,,,,,,,,,,,0.79818832,,0.19975735,,0.3304808,0.2971199,0.12043833,0.38319247,0.012787694,,,0.57327821,0.69896863,0.75522259,0.73259862,0.97155823,1,1
40,4.5162876e-05,0.51409656,0.51409656,,,,,,,,,,,,,,,,,,,,,0.51409656,,0.083624887,,0.21332737,0.28252647,0.053928677,0.34941859,0.013443399,,,0.69011876,0.80843228,0.77120516,0.85899019,0.9787033,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,4.5005909e-05,0.46555375,0.46555375,,,,,,,,,,,,,,,,,,,,,0.46555375,,0.073239601,,0.20140146,0.27197403,0.047794748,0.30399029,0.014214636,,,0.70216294,0.8180775,0.79138609,0.85579716,0.98264917,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,4.4848882e-05,0.46986209,0.46986209,,,,,,,,,,,,,,,,,,,,,0.46986209,,0.071819553,,0.20970046,0.26657566,0.04902522,0.29889851,0.010514302,,,0.69810036,0.81492139,0.78581719,0.85079855,0.98203908,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,4.4691793e-05,0.50324494,0.50324494,,,,,,,,,,,,,,,,,,,,,0.50324494,,0.090192282,,0.21499592,0.26707645,0.054781908,0.31252154,0.01051186,,,0.68731427,0.80665191,0.7817274,0.84497775,0.97892235,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,4.4534642e-05,0.43207516,0.43207516,,,,,,,,,,,,,,,,,,,,,0.43207516,,0.073152459,,0.18110256,0.26278125,0.048328375,0.27957613,0.0072883025,,,0.72945714,0.83688973,0.80864893,0.8753462,0.98197865,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,4.437743e-05,0.45204097,0.45204097,,,,,,,,,,,,,,,,,,,,,0.45204097,,0.081287511,,0.19168708,0.26010174,0.04891643,0.28206365,0.0057125937,,,0.71884839,0.82799723,0.80644394,0.86008929,0.98005807,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,4.4220157e-05,0.42476755,0.42476755,,,,,,,,,,,,,,,,,,,,,0.42476755,,0.074043568,,0.18198885,0.25167604,0.043534612,0.26708174,0.00843151,,,0.72697315,0.83649984,0.80945941,0.87705057,0.9822781,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,4.406282e-05,0.48732454,0.48732454,,,,,,,,,,,,,,,,,,,,,0.48732454,,0.084132246,,0.21164317,0.24963532,0.050904999,0.30597109,0.0062932037,,,0.6983439,0.80969177,0.78995493,0.83868661,0.9803894,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,4.3905422e-05,0.42326154,0.42326154,,,,,,,,,,,,,,,,,,,,,0.42326154,,0.075361579,,0.17785866,0.2443675,0.04573326,0.26898721,0.0046269165,,,0.73052822,0.8390398,0.80482909,0.88080939,0.98177644,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,4.3747961e-05,0.38612177,0.38612177,,,,,,,,,,,,,,,,,,,,,0.38612177,,0.066993468,,0.16792796,0.24173508,0.044538574,0.23251211,0.0058823978,,,0.74957328,0.8512176,0.82080562,0.88865115,0.98358972,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
