# model=B23VideoMTWindowModel tfcu=videomt_window_final lora_rank=32 input_size= num_clips=1 num_frames=5
# loss=videomt_query_mask + 1*query_mask aux=
# train_samples=DAVIS-VI_tra_DVI_30.npy;DAVIS-VI_tra_CPNET_30.npy val_samples=DAVIS-VI_val_DVI_20.npy;DAVIS-VI_val_CPNET_20.npy
# batch_size=1 lr=0.0001 params_total=309258322 params_trainable=6104146
epoch,lr,train_loss,train_main_loss,train_aux_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_query_bce,train_loss_query_dice,train_loss_query_no_object,train_loss_query_weight_scale,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,train_videomt_enabled,train_videomt_final,val_loss,val_main_loss,val_aux_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_query_bce,val_loss_query_dice,val_loss_query_no_object,val_loss_query_weight_scale,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy,val_videomt_enabled,val_videomt_final
69,1.8905709e-05,0.31602794,0.31602794,,,,,,,,,,,,,,,,,,,,,0.31602794,,0.073911687,,0.15669128,0.087858595,0.046568153,0.22225554,0.007698694,1,,,0.76728921,0.8617036,0.8444335,0.88431533,0.98155497,1,1,0.6677273,0.6677273,,,,,,,,,,,,,,,,,,,,,0.6677273,,0.24786482,,0.27478945,0.14591809,0.13063469,0.32811993,0.0030148009,1,,,0.62876399,0.75206784,0.82815963,0.72115472,0.96881651,1,1
70,1.8887412e-05,0.33086404,0.33086404,,,,,,,,,,,,,,,,,,,,,0.33086404,,0.07737776,,0.16368796,0.089272556,0.045626009,0.23719498,0.0097678914,1,,,0.75449909,0.85404246,0.83888237,0.87463565,0.98107887,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1.8869114e-05,0.3081322,0.3081322,,,,,,,,,,,,,,,,,,,,,0.3081322,,0.06600702,,0.16110384,0.080518421,0.040275416,0.2148774,0.008991294,1,,,0.76986482,0.85738704,0.83815122,0.88259042,0.9835419,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1.8850813e-05,0.34641358,0.34641358,,,,,,,,,,,,,,,,,,,,,0.34641358,,0.073785228,,0.18498058,0.087119376,0.044355612,0.23187282,0.0084653196,1,,,0.73710822,0.83521705,0.81261282,0.86837442,0.98137598,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1.883251e-05,0.34043519,0.34043519,,,,,,,,,,,,,,,,,,,,,0.34043519,,0.075556602,,0.17433063,0.0873076,0.045353049,0.24059202,0.0079812045,1,,,0.74798535,0.8450655,0.81912331,0.87935031,0.98075059,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1.8814205e-05,0.31744797,0.31744797,,,,,,,,,,,,,,,,,,,,,0.31744797,,0.080495871,,0.15407385,0.094571384,0.049141932,0.2099393,0.0085061456,1,,,0.76990648,0.86425182,0.84232512,0.89095609,0.9794215,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1.8795899e-05,0.37981529,0.37981529,,,,,,,,,,,,,,,,,,,,,0.37981529,,0.07802252,,0.20698042,0.087461462,0.047384224,0.25306088,0.0061148568,1,,,0.72348104,0.81407253,0.78840634,0.85103042,0.98075796,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1.877759e-05,0.3542034,0.3542034,,,,,,,,,,,,,,,,,,,,,0.3542034,,0.085273209,,0.18000757,0.088949212,0.048832604,0.23159068,0.0069634742,1,,,0.74608982,0.84124669,0.81858894,0.87169382,0.9795874,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1.8759279e-05,0.32946102,0.32946102,,,,,,,,,,,,,,,,,,,,,0.32946102,,0.076332743,,0.16563228,0.088378706,0.04812695,0.22634426,0.014713752,1,,,0.75475663,0.85422662,0.83287716,0.88032246,0.98053351,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1.8740967e-05,0.30626816,0.30626816,,,,,,,,,,,,,,,,,,,,,0.30626816,,0.071684682,,0.15559983,0.082473034,0.042120741,0.20615665,0.0075354331,1,,,0.77404363,0.86110569,0.84147762,0.88943101,0.98220509,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
