epoch,lr,train_loss,train_main_loss,train_aux_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_query_bce,train_loss_query_dice,train_loss_query_no_object,train_loss_query_weight_scale,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,train_videomt_enabled,train_videomt_final,val_loss,val_main_loss,val_aux_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_query_bce,val_loss_query_dice,val_loss_query_no_object,val_loss_query_weight_scale,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy,val_videomt_enabled,val_videomt_final
29,1.9635994e-05,0.42683237,0.42683237,,,,,,,,,,,,,,,,,,,,,0.42683237,,0.096670194,,0.2210891,0.11242676,0.059083137,0.28409168,0.0099857598,1,,,0.69266642,0.80070117,0.78236369,0.83435948,0.97826229,1,1,0.62712027,0.62712027,,,,,,,,,,,,,,,,,,,,,0.62712027,,0.19781508,,0.28612156,0.13955961,0.11153967,0.34173244,0.004480289,1,,,0.62150085,0.74086117,0.79731728,0.74156512,0.96760215,1,1
30,1.9617774e-05,0.35891024,0.35891024,,,,,,,,,,,,,,,,,,,,,0.35891024,,0.090944598,,0.17327184,0.11723114,0.058446354,0.23591128,0.010499113,1,,,0.74804105,0.84771437,0.82221817,0.88245101,0.97715454,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.9599552e-05,0.43243644,0.43243644,,,,,,,,,,,,,,,,,,,,,0.43243644,,0.10016971,,0.21792674,0.11730115,0.062137324,0.29605278,0.020357838,1,,,0.69513459,0.80568889,0.78277485,0.84188472,0.97572485,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.9581328e-05,0.42343511,0.42343511,,,,,,,,,,,,,,,,,,,,,0.42343511,,0.090063199,,0.22087712,0.11141292,0.054175285,0.30035982,0.011272061,1,,,0.69470594,0.80235745,0.78083398,0.83843034,0.97806893,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.9563103e-05,0.4630899,0.4630899,,,,,,,,,,,,,,,,,,,,,0.4630899,,0.10209474,,0.24397613,0.1094392,0.060650169,0.30990161,0.007630398,1,,,0.66585406,0.77908663,0.75677591,0.81660402,0.97659936,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.9544875e-05,0.4096448,0.4096448,,,,,,,,,,,,,,,,,,,,,0.4096448,,0.092681605,,0.20949722,0.11006424,0.055756953,0.2820137,0.012631155,1,,,0.70471854,0.81078895,0.79140783,0.84198044,0.97776765,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.9526646e-05,0.40974795,0.40974795,,,,,,,,,,,,,,,,,,,,,0.40974795,,0.090961568,,0.21184354,0.10937413,0.055825161,0.2804601,0.011771072,1,,,0.70499461,0.81174853,0.78554799,0.8481583,0.9778381,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.9508415e-05,0.40671845,0.40671845,,,,,,,,,,,,,,,,,,,,,0.40671845,,0.091741248,,0.21180318,0.10616533,0.057008819,0.26786028,0.008100381,1,,,0.70499085,0.80993309,0.78317561,0.84578601,0.97776274,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.9490182e-05,0.44065369,0.44065369,,,,,,,,,,,,,,,,,,,,,0.44065369,,0.097655706,,0.22832157,0.11180412,0.056992769,0.30502523,0.0096159825,1,,,0.6886681,0.79622668,0.77236867,0.83333714,0.97597932,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.9471947e-05,0.41186175,0.41186175,,,,,,,,,,,,,,,,,,,,,0.41186175,,0.10146635,,0.20368112,0.1132208,0.061008827,0.27425944,0.0094551511,1,,,0.71286487,0.81765461,0.79177493,0.85665685,0.97551325,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
