epoch,lr,train_loss,train_main_loss,train_aux_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,train_temporal_encoder_enabled,train_ttf_enabled,train_ttf_patch_count,train_ttf_temporal_len,val_loss,val_main_loss,val_aux_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy,val_temporal_encoder_enabled,val_ttf_enabled,val_ttf_patch_count,val_ttf_temporal_len
362,7.4598255e-06,0.10558423,0.10558423,,,,,,,,,,,,,,,,,,,0.018863932,7.4050856e-05,0.10558423,0.10389516,,0.021013243,0.18677708,,0.03378131,0.05,0.76506286,0.86272853,0.83898265,0.89177436,0.98352624,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,7.4469611e-06,0.092819618,0.092819618,,,,,,,,,,,,,,,,,,,0.01888326,7.241376e-05,0.092819618,0.091090221,,0.021252176,0.16092827,,0.034587941,0.05,0.78856336,0.87795935,0.86023549,0.89804018,0.98239346,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,7.4340771e-06,0.09692518,0.09692518,,,,,,,,,,,,,,,,,,,0.018939209,7.0477521e-05,0.09692518,0.095348212,,0.019976663,0.17071976,,0.031539361,0.05,0.78050848,0.87363448,0.8478744,0.90305283,0.98369665,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,7.4211736e-06,0.099042482,0.099042482,,,,,,,,,,,,,,,,,,,0.018982951,7.7184205e-05,0.099042482,0.097328535,,0.017938441,0.17671863,,0.034278948,0.05,0.80394869,0.8889462,0.87155649,0.91083892,0.98446891,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,7.4082508e-06,0.10211127,0.10211127,,,,,,,,,,,,,,,,,,,0.018991089,7.0235689e-05,0.10211127,0.10048019,,0.021083154,0.17987722,,0.032621593,0.05,0.77128014,0.86382097,0.83682155,0.89486375,0.98381786,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,7.3953088e-06,0.09759397,0.09759397,,,,,,,,,,,,,,,,,,,0.019011434,7.9054372e-05,0.09759397,0.096123303,,0.016905379,0.17534123,,0.029413354,0.05,0.79540162,0.88279997,0.85743597,0.91290261,0.98619163,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,7.3823476e-06,0.101161,0.101161,,,,,,,,,,,,,,,,,,,0.01905009,7.2910106e-05,0.101161,0.099496593,,0.018481917,0.18051127,,0.033288196,0.05,0.79053915,0.87990608,0.85187528,0.91230223,0.98350345,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,7.3693676e-06,0.10023605,0.10023605,,,,,,,,,,,,,,,,,,,0.019061279,7.3004352e-05,0.10023605,0.098577495,,0.020627268,0.17652772,,0.03317114,0.05,0.78102563,0.87243651,0.84879146,0.90156595,0.98311394,1,1,1024,4,0.098824686,0.098824686,,,,,,,,,,,,,,,,,,,0.019021036,5.7813411e-05,0.098824686,0.097411832,,0.021194087,0.17362958,,0.028257072,0.05,0.78086204,0.86476278,0.8200397,0.93414339,0.98327452,1,1,1024,4
370,7.3563687e-06,0.091426688,0.091426688,,,,,,,,,,,,,,,,,,,0.018988037,7.5187877e-05,0.091426688,0.089923513,,0.018791493,0.16105553,,0.030063488,0.05,0.79221159,0.88213852,0.85761095,0.90999713,0.98480558,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,7.3433511e-06,0.087981637,0.087981637,,,,,,,,,,,,,,,,,,,0.018980916,7.2928877e-05,0.087981637,0.08640453,,0.016903043,0.15590602,,0.031542126,0.05,0.80645881,0.88907235,0.8750049,0.90562615,0.98546557,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,7.3303149e-06,0.096292601,0.096292601,,,,,,,,,,,,,,,,,,,0.019004313,7.485492e-05,0.096292601,0.094656273,,0.020173504,0.16913904,,0.032726542,0.05,0.78112184,0.87271984,0.84227531,0.90820945,0.983407,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,7.3172603e-06,0.10441527,0.10441527,,,,,,,,,,,,,,,,,,,0.018981934,7.1133115e-05,0.10441527,0.10291314,,0.017908948,0.18791733,,0.030042548,0.05,0.78585378,0.87443388,0.84700392,0.90697074,0.98578408,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
