# model=B31DINOv3IMLNoGateStABRMRVideoModel tfcu= lora_rank=32 input_size=512 num_clips=4 num_frames=4
# loss= aux=
# train_samples=DAVIS-VI_tra_DVI_30.npy;DAVIS-VI_tra_CPNET_30.npy val_samples=DAVIS-VI_val_DVI_20.npy;DAVIS-VI_val_CPNET_20.npy
# batch_size=1 lr=0.0003 params_total=312610691 params_trainable=9456515
epoch,lr,train_loss,train_main_loss,train_aux_loss,train_edge_loss,train_predict_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_query_bce,train_loss_query_dice,train_loss_query_no_object,train_loss_query_weight_scale,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,val_loss,val_main_loss,val_aux_loss,val_edge_loss,val_predict_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_query_bce,val_loss_query_dice,val_loss_query_no_object,val_loss_query_weight_scale,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy
26,9.9518269e-05,0.65841308,0.65841308,,0.56131428,0.097098807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51627373,0.65810621,0.83974579,0.61761137,0.95804512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,9.947356e-05,0.69697554,0.69697554,,0.56727996,0.12969557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56512785,0.71024293,0.5784507,0.96646444,0.94827112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,9.9426878e-05,0.56811936,0.56811936,,0.48964523,0.078474131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67208694,0.79199933,0.87642307,0.75695312,0.97281365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,9.9378225e-05,0.57384354,0.57384354,,0.48805973,0.085783803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71530611,0.82889534,0.82737558,0.85146736,0.97234988,0.70422054,0.70422054,,0.62190007,0.082320466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68600508,0.7972038,0.76096818,0.87464009,0.97234025
30,9.9327603e-05,0.5239047,0.5239047,,0.45506318,0.068841527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71132464,0.82410179,0.84010109,0.82843774,0.97896694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,9.9275015e-05,0.53707754,0.53707754,,0.46403573,0.073041809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7084418,0.8198446,0.8501733,0.79980675,0.97727303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,9.9220462e-05,0.5307242,0.5307242,,0.46095381,0.069770387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72131004,0.83170347,0.83758246,0.83236178,0.97867695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,9.9163946e-05,0.52687317,0.52687317,,0.45366012,0.07321305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68197753,0.80602998,0.7981151,0.8194521,0.97676616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,9.9105471e-05,0.52000139,0.52000139,,0.45668649,0.063314902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69878909,0.8167832,0.83664479,0.80234409,0.97991732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,9.9045037e-05,0.54938842,0.54938842,,0.48345011,0.065938302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69597698,0.81289646,0.84138472,0.79562724,0.97860372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
