# model=B23TFCUCCMFGMLiteModel tfcu=ccm_fgm_forensic_gated_lite lora_rank=32 input_size=512 num_clips=2 num_frames=4
# loss=1*dice + 0.5*bce + 0.2*tversky + 0.15*boundary aux=0.05*ccm_mask32 + 0.03*fgm_mask32 + 0.2*mask128 + 0.1*boundary128
# train_samples=DAVIS-VI_tra_DVI_30.npy;DAVIS-VI_tra_CPNET_30.npy val_samples=DAVIS-VI_val_DVI_20.npy;DAVIS-VI_val_CPNET_20.npy
# batch_size=1 lr=0.0001 params_total=318326648 params_trainable=15021176
epoch,lr,train_loss,train_main_loss,train_aux_loss,train_aux_boundary128_loss,train_aux_ccm_mask32_loss,train_aux_fgm_mask32_loss,train_aux_mask128_loss,train_bce_loss,train_boundary_loss,train_dice_loss,train_tversky_loss,train_iou,train_f1,train_precision,train_recall,train_accuracy,val_loss,val_iou,val_f1,val_precision,val_recall,val_accuracy
42,9.9753485e-06,0.3130268,0.25115169,0.061875111,0.062348292,0.20412193,0.24470096,0.19046578,0.059810526,0.049675477,0.18294221,0.15426447,0.78608883,0.87551319,0.85110289,0.90467717,0.98586732,,,,,,
43,9.9738333e-06,0.32811655,0.25922409,0.068892462,0.070693829,0.22813563,0.2659669,0.21218645,0.069481675,0.055963522,0.18429144,0.15898642,0.76958001,0.86262225,0.83534733,0.89772955,0.98273926,,,,,,
44,9.9722731e-06,0.27704495,0.21813304,0.058911911,0.068534148,0.19197434,0.22811248,0.17808202,0.060566553,0.053666651,0.15348842,0.13155671,0.80912729,0.89060526,0.86996182,0.91478704,0.98398157,,,,,,
45,9.9706678e-06,0.27084678,0.2108071,0.060039675,0.07090792,0.19594396,0.23198012,0.1809614,0.064321271,0.057652736,0.14487073,0.12563914,0.80470377,0.88782123,0.86549614,0.91503586,0.98303588,,,,,,
46,9.9690175e-06,0.30335122,0.23849178,0.064859435,0.06833372,0.21349948,0.24905271,0.19939754,0.062109338,0.056838921,0.16922087,0.14845201,0.78324694,0.87192328,0.84889619,0.90120218,0.9842361,,,,,,
47,9.9673222e-06,0.31778297,0.24872983,0.069053141,0.069473537,0.23078851,0.26819371,0.21260275,0.06619322,0.055758644,0.17580306,0.1573318,0.77339837,0.86338508,0.84345041,0.89104997,0.98313603,,,,,,
48,9.9655819e-06,0.29167707,0.22818233,0.063494734,0.065829795,0.20882977,0.24560464,0.19551063,0.061047607,0.053228935,0.16095941,0.14357388,0.78308965,0.87151551,0.8500525,0.8987064,0.98495249,,,,,,
49,9.9637967e-06,0.24125658,0.18705885,0.054197727,0.06516187,0.17574476,0.21447804,0.1622998,0.056538559,0.05381628,0.12782243,0.11447352,0.82417313,0.89958009,0.88736986,0.91506938,0.98518482,0.35801791,0.73795602,0.82176042,0.79510142,0.91284714,0.96324346
50,9.9619664e-06,0.2913476,0.22601286,0.065334736,0.069194864,0.21835308,0.25370222,0.19943264,0.066562409,0.056070296,0.1567032,0.13808957,0.7815093,0.87206764,0.84649152,0.90234476,0.98237742,,,,,,
51,9.9600913e-06,0.26602467,0.20592587,0.0600988,0.065729032,0.19828572,0.2353136,0.18276101,0.061198058,0.05525791,0.14161645,0.12710855,0.79897477,0.88436123,0.86727953,0.90504988,0.98397974,,,,,,
52,9.9581713e-06,0.26547943,0.20631459,0.059164845,0.062863715,0.19845139,0.23314534,0.17980772,0.05629948,0.055027482,0.14405194,0.12929392,0.80349393,0.88310886,0.8642577,0.90800806,0.98517861,,,,,,
53,9.9562063e-06,0.26408371,0.20371607,0.060367647,0.066512679,0.19945766,0.23387639,0.18363602,0.059874969,0.056856848,0.13973056,0.12759748,0.79925802,0.88275443,0.86814213,0.90120517,0.98414762,,,,,,
54,9.9541965e-06,0.28161399,0.21773218,0.063881814,0.068562267,0.21274715,0.24338013,0.19543413,0.0621615,0.057022866,0.15060016,0.13748917,0.78662398,0.87236153,0.85282167,0.89778818,0.98372999,,,,,,
55,9.9521418e-06,0.25000685,0.19327802,0.056728831,0.06306403,0.18683354,0.22311026,0.17193721,0.055879717,0.054030696,0.13335561,0.11938973,0.80757462,0.88848356,0.87034539,0.91055571,0.98520364,,,,,,
56,9.9500423e-06,0.26881264,0.20900332,0.059809323,0.059260838,0.19816985,0.2323171,0.18502616,0.053779237,0.049289933,0.14790144,0.13409382,0.80048195,0.87896289,0.85777037,0.90690454,0.98563918,,,,,,
57,9.947898e-06,0.29771094,0.23107544,0.066635501,0.060943729,0.22641896,0.2614077,0.20688974,0.057908305,0.049906721,0.16442714,0.15104067,0.77331745,0.85853893,0.838711,0.8858429,0.98479741,,,,,,
58,9.9457089e-06,0.29293966,0.22728763,0.065652032,0.059385928,0.22566613,0.25756321,0.20351618,0.055835433,0.051560615,0.16210034,0.14767742,0.77481072,0.86309415,0.83920408,0.89255253,0.98506682,,,,,,
59,9.943475e-06,0.22650889,0.1729414,0.053567493,0.062211343,0.17791578,0.21386917,0.16017247,0.054232443,0.055594887,0.11613219,0.10676878,0.8216587,0.89852779,0.8849336,0.91482487,0.98514696,0.3853447,0.722597,0.80640567,0.8009078,0.89003132,0.95016082
60,9.9411964e-06,0.29371245,0.22847945,0.065233003,0.056870901,0.22294975,0.25424993,0.20385463,0.054006174,0.051118591,0.16375671,0.15025932,0.77590378,0.8606936,0.84039611,0.88596045,0.98598694,,,,,,
61,9.938873e-06,0.24865735,0.19147483,0.057182519,0.058170044,0.1921055,0.21997147,0.17580547,0.053609208,0.049796326,0.13314518,0.12027802,0.80803804,0.88510791,0.86187701,0.91411162,0.9853327,,,,,,
62,9.936505e-06,0.28696856,0.22180411,0.065164452,0.061427558,0.22186473,0.24996343,0.20214778,0.056700809,0.05371836,0.15639204,0.14501953,0.77241092,0.86327722,0.84694745,0.88482974,0.98513583,,,,,,
63,9.9340923e-06,0.25378591,0.1946596,0.059126308,0.061964044,0.20091771,0.22567271,0.18056918,0.056206968,0.053825274,0.13368694,0.12397689,0.8095935,0.88646331,0.8715289,0.90547003,0.98475874,,,,,,
64,9.9316349e-06,0.27941979,0.21601723,0.063402555,0.057723279,0.21856827,0.24319921,0.19702918,0.054442951,0.051117159,0.15308589,0.14021148,0.78343398,0.86855706,0.84564591,0.89749915,0.98537751,,,,,,
65,9.9291329e-06,0.28532935,0.22014554,0.065183809,0.062074884,0.22120219,0.24406012,0.20297203,0.056328273,0.05503993,0.1550781,0.14323658,0.77869947,0.86423738,0.84345221,0.89309635,0.98466182,,,,,,
66,9.9265863e-06,0.24930857,0.18997204,0.059336528,0.065280059,0.19986913,0.22514802,0.18030312,0.058625143,0.058495597,0.12836129,0.11761918,0.80139799,0.8854052,0.86600617,0.90922443,0.9837855,,,,,,
67,9.9239951e-06,0.26320012,0.20234955,0.060850566,0.061486186,0.20492282,0.22581213,0.18840721,0.054859168,0.052527535,0.14103128,0.1300478,0.7962324,0.87496275,0.85315069,0.90487959,0.98505954,,,,,,
