# model=B24DINOv3IMLCCMVideoModel tfcu=ccm_predecoder lora_rank=32 input_size=512 num_clips=4 num_frames=4
# loss= aux=
# train_samples=DAVIS-VI_tra_DVI_30.npy;DAVIS-VI_tra_CPNET_30.npy val_samples=DAVIS-VI_val_DVI_20.npy;DAVIS-VI_val_CPNET_20.npy
# batch_size=1 lr=0.0003 params_total=313582978 params_trainable=9046529
epoch,lr,train_loss,train_main_loss,train_aux_loss,train_edge_loss,train_predict_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_query_bce,train_loss_query_dice,train_loss_query_no_object,train_loss_query_weight_scale,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,val_loss,val_main_loss,val_aux_loss,val_edge_loss,val_predict_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_query_bce,val_loss_query_dice,val_loss_query_no_object,val_loss_query_weight_scale,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy
25,0.00029867414,0.53148615,0.53148615,,0.44276428,0.088721876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63269279,0.763263,0.76334457,0.79183122,0.97006317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00029854508,0.55619024,0.55619024,,0.47031066,0.085879586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60911735,0.74114181,0.74380905,0.7512032,0.97179928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00029841004,0.56252852,0.56252852,,0.471097,0.091431517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67831769,0.80027573,0.7949706,0.81879309,0.97019064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00029826906,0.55828853,0.55828853,,0.47982871,0.078459818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68568423,0.80248627,0.78954933,0.83334925,0.97460976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00029812211,0.52914595,0.52914595,,0.45435954,0.074786409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71168128,0.82454817,0.8182336,0.84416985,0.97620656,0.67416654,0.67416654,,0.60866634,0.065500187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71874336,0.81945142,0.76087209,0.91772626,0.97545983
30,0.00029796923,0.54124906,0.54124906,,0.47230404,0.06894502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68108668,0.79382539,0.83471294,0.7860127,0.9771929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.0002978104,0.52308197,0.52308197,,0.44501829,0.07806368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67999236,0.79825736,0.82548525,0.7857277,0.97447043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00029764564,0.57843684,0.57843684,,0.49530094,0.083135907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69568792,0.80985042,0.80852645,0.82764955,0.97190603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00029747495,0.55688757,0.55688757,,0.4809096,0.075977977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6717162,0.79508495,0.82075066,0.78749277,0.97492858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00029729834,0.58259357,0.58259357,,0.50460471,0.077988857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64507098,0.77519072,0.77130648,0.797367,0.97285074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
