# model=B23TFCUCCMFGMLiteModel tfcu=ccm_fgm_lite lora_rank=32 input_size=512 num_clips=2 num_frames=4
# loss=1*dice + 0.5*bce + 0.2*tversky + 0.15*boundary aux=0.05*ccm_mask32 + 0.1*fgm_mask32 + 0.2*mask128 + 0.1*boundary128
# train_samples=DAVIS-VI_tra_DVI_30.npy;DAVIS-VI_tra_CPNET_30.npy val_samples=DAVIS-VI_val_DVI_20.npy;DAVIS-VI_val_CPNET_20.npy
# batch_size=1 lr=0.0001 params_total=318244502 params_trainable=14939030
epoch,lr,train_loss,train_main_loss,train_aux_loss,train_aux_boundary128_loss,train_aux_ccm_mask32_loss,train_aux_fgm_mask32_loss,train_aux_mask128_loss,train_bce_loss,train_boundary_loss,train_dice_loss,train_tversky_loss,train_iou,train_f1,train_precision,train_recall,train_accuracy,val_loss,val_iou,val_f1,val_precision,val_recall,val_accuracy
34,9.9858465e-06,1.404573,1.0960365,0.30853659,0.4152456,0.43653275,0.50888634,0.97148376,0.44233545,0.072392099,0.73450305,0.64753429,0.51645636,0.66237779,0.53712319,0.91518954,0.94727942,,,,,,
35,9.9846922e-06,1.3973295,1.0913083,0.30602123,0.40928411,0.43120444,0.50961479,0.96285553,0.44057159,0.07376801,0.73163045,0.64163418,0.53475499,0.67695408,0.55762566,0.91446991,0.94627452,,,,,,
36,9.9834928e-06,1.3531464,1.0636363,0.28951016,0.40088411,0.38879016,0.46381631,0.91800299,0.4247812,0.07003897,0.71623377,0.62253033,0.57011341,0.70723454,0.59153971,0.91889745,0.95312885,,,,,,
37,9.9822482e-06,1.3553823,1.0676657,0.28771662,0.39638957,0.3964837,0.44668908,0.9179228,0.42356383,0.06929889,0.71946219,0.63013375,0.56500905,0.70134966,0.58341213,0.93053451,0.9527126,,,,,,
38,9.9809585e-06,1.3539639,1.0676201,0.28634377,0.38949277,0.38999021,0.44704661,0.91595159,0.42367342,0.068972471,0.71943116,0.6300319,0.54810724,0.68358523,0.56945731,0.91683654,0.950373,,,,,,
39,9.9796237e-06,1.3622081,1.0768396,0.28536842,0.38436081,0.37665734,0.4523785,0.91430808,0.42085051,0.068466764,0.72900714,0.63568594,0.55871968,0.70330339,0.57710578,0.9391319,0.95365225,1.3474855,0.60826696,0.74250592,0.63285824,0.931078,0.96005437
40,9.9782437e-06,1.3165579,1.0353473,0.28121062,0.38014432,0.41250506,0.47091489,0.8773972,0.41903006,0.07155832,0.69405345,0.60522518,0.56601122,0.70176206,0.59293636,0.90903148,0.94768497,,,,,,
41,9.9768187e-06,1.3535172,1.0654398,0.28807733,0.3722494,0.4210774,0.49900721,0.89948897,0.41399713,0.067285113,0.72142193,0.63463289,0.56750464,0.70451974,0.60290847,0.90124533,0.95374203,,,,,,
42,9.9753485e-06,1.3131328,1.0439071,0.26922577,0.36581989,0.36599944,0.4316535,0.85589224,0.40460228,0.069035846,0.70885352,0.61198512,0.59081004,0.72505166,0.61472894,0.92583464,0.95645245,,,,,,
43,9.9738333e-06,1.291383,1.0267938,0.26458919,0.36026292,0.36797766,0.42591807,0.83786103,0.40116744,0.068977545,0.69631169,0.59775873,0.58905071,0.72592049,0.60447155,0.94099947,0.95343115,,,,,,
